season,matchday,home team,away team,home attendance,away attendance,total attendance,winning team
2017-2018,8,hapoel acre,hapoel raanana,470,30,500,A
2017-2018,8,maccabi netanya,ironi kiryat shmona,5100,100,5200,H
2017-2018,8,maccabi haifa,beitar jerusalem,24357,3757,28114,A
2017-2018,8,hapoel ashqelon,maccabi petah tikva,1896,65,1961,A
2017-2018,8,bnei sakhnin,hapoel haifa,1500,2300,3800,A
2017-2018,8,hapoel beer sheva,maccabi tel aviv,13910,1590,15500,H
2017-2018,9,bnei sakhnin,maccabi netanya,700,1300,2000,D
2017-2018,9,hapoel haifa,hapoel raanana,5197,66,5263,H
2017-2018,9,ironi kiryat shmona,maccabi haifa,800,1600,2400,H
2017-2018,9,beitar jerusalem,hapoel ashqelon,8607,295,8902,H
2017-2018,9,maccabi tel aviv,hapoel acre,6200,116,6316,H
2017-2018,9,ashdod fc,hapoel beer sheva,1400,3300,4700,A
2017-2018,9,maccabi petah tikva,bnei yehuda tel aviv,700,247,947,A
2017-2018,10,hapoel acre,ashdod fc,535,15,550,H
2017-2018,10,maccabi netanya,hapoel haifa,9080,2420,11500,H
2017-2018,10,bnei yehuda tel aviv,beitar jerusalem,1500,7040,8540,H
2017-2018,10,maccabi petah tikva,hapoel beer sheva,1200,2350,3550,A
2017-2018,10,hapoel raanana,maccabi tel aviv,750,1600,2350,A
2017-2018,10,maccabi haifa,bnei sakhnin,15039,1200,16239,H
2017-2018,10,hapoel ashqelon,ironi kiryat shmona,1600,25,1625,D
2017-2018,11,bnei sakhnin,hapoel ashqelon,800,200,1000,H
2017-2018,11,ironi kiryat shmona,bnei yehuda tel aviv,600,170,770,H
2017-2018,11,hapoel acre,maccabi petah tikva,830,25,855,A
2017-2018,11,maccabi netanya,maccabi haifa,10729,1750,12479,D
2017-2018,11,ashdod fc,hapoel raanana,1190,10,1200,A
2017-2018,11,hapoel haifa,maccabi tel aviv,7400,3000,10400,D
2017-2018,11,beitar jerusalem,hapoel beer sheva,17120,4300,21420,D
2017-2018,12,maccabi tel aviv,ashdod fc,10057,50,10107,D
2017-2018,12,bnei yehuda tel aviv,bnei sakhnin,1300,300,1600,H
2017-2018,12,hapoel ashqelon,maccabi netanya,1510,1300,2810,D
2017-2018,12,hapoel acre,beitar jerusalem,900,3200,4100,A
2017-2018,12,hapoel raanana,maccabi petah tikva,255,59,314,D
2017-2018,12,hapoel beer sheva,ironi kiryat shmona,13750,50,13800,H
2017-2018,12,hapoel haifa,maccabi haifa,9200,14547,23747,H
2017-2018,13,ashdod fc,hapoel haifa,650,930,1580,D
2017-2018,13,maccabi netanya,bnei yehuda tel aviv,5226,774,6000,A
2017-2018,13,maccabi haifa,hapoel ashqelon,14417,159,14576,D
2017-2018,13,beitar jerusalem,hapoel raanana,6650,50,6700,H
